Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
135,2021-10-28,HOU,,UTA,L 91-122,240,31,95,.326,22,51,.431,9,44,.205,20,23,.870,91,41,85,.482,25,39,.641,16,46,.348,24,30,.800,122
136,2021-10-28,UTA,@,HOU,W 122-91,240,41,85,.482,25,39,.641,16,46,.348,24,30,.800,122,31,95,.326,22,51,.431,9,44,.205,20,23,.870,91
137,2021-10-28,DET,@,PHI,L 102-110,240,35,86,.407,22,47,.468,13,39,.333,19,27,.704,102,38,76,.500,26,49,.531,12,27,.444,22,24,.917,110
138,2021-10-28,PHI,,DET,W 110-102,240,38,76,.500,26,49,.531,12,27,.444,22,24,.917,110,35,86,.407,22,47,.468,13,39,.333,19,27,.704,102
139,2021-10-28,ATL,@,WAS,L 111-122,240,48,88,.545,42,67,.627,6,21,.286,9,14,.643,111,46,99,.465,33,65,.508,13,34,.382,17,21,.810,122
140,2021-10-28,WAS,,ATL,W 122-111,240,46,99,.465,33,65,.508,13,34,.382,17,21,.810,122,48,88,.545,42,67,.627,6,21,.286,9,14,.643,111
141,2021-10-29,BRK,,IND,W 105-98,240,34,76,.447,28,50,.560,6,26,.231,31,41,.756,105,37,93,.398,29,64,.453,8,29,.276,16,23,.696,98
142,2021-10-29,IND,@,BRK,L 98-105,240,37,93,.398,29,64,.453,8,29,.276,16,23,.696,98,34,76,.447,28,50,.560,6,26,.231,31,41,.756,105
143,2021-10-29,DAL,@,DEN,L 75-106,240,23,78,.295,15,41,.366,8,37,.216,21,27,.778,75,43,83,.518,32,47,.681,11,36,.306,9,13,.692,106
144,2021-10-29,DEN,,DAL,W 106-75,240,43,83,.518,32,47,.681,11,36,.306,9,13,.692,106,23,78,.295,15,41,.366,8,37,.216,21,27,.778,75
145,2021-10-29,CLE,@,LAL,L 101-113,240,37,87,.425,25,53,.472,12,34,.353,15,22,.682,101,46,84,.548,34,57,.596,12,27,.444,9,10,.900,113
146,2021-10-29,LAL,,CLE,W 113-101,240,46,84,.548,34,57,.596,12,27,.444,9,10,.900,113,37,87,.425,25,53,.472,12,34,.353,15,22,.682,101
147,2021-10-29,CHO,@,MIA,L 99-114,240,35,90,.389,22,53,.415,13,37,.351,16,22,.727,99,43,91,.473,34,56,.607,9,35,.257,19,19,1.000,114
148,2021-10-29,MIA,,CHO,W 114-99,240,43,91,.473,34,56,.607,9,35,.257,19,19,1.000,114,35,90,.389,22,53,.415,13,37,.351,16,22,.727,99
149,2021-10-29,NOP,,SAC,L 109-113,240,42,98,.429,33,64,.516,9,34,.265,16,25,.640,109,40,80,.500,31,53,.585,9,27,.333,24,25,.960,113
150,2021-10-29,SAC,@,NOP,W 113-109,240,40,80,.500,31,53,.585,9,27,.333,24,25,.960,113,42,98,.429,33,64,.516,9,34,.265,16,25,.640,109
151,2021-10-29,LAC,@,POR,L 92-111,240,34,87,.391,19,45,.422,15,42,.357,9,16,.563,92,41,98,.418,22,57,.386,19,41,.463,10,16,.625,111
152,2021-10-29,POR,,LAC,W 111-92,240,41,98,.418,22,57,.386,19,41,.463,10,16,.625,111,34,87,.391,19,45,.422,15,42,.357,9,16,.563,92
153,2021-10-29,ORL,@,TOR,L 109-110,240,41,87,.471,25,53,.472,16,34,.471,11,16,.688,109,43,86,.500,34,56,.607,9,30,.300,15,22,.682,110
154,2021-10-29,TOR,,ORL,W 110-109,240,43,86,.500,34,56,.607,9,30,.300,15,22,.682,110,41,87,.471,25,53,.472,16,34,.471,11,16,.688,109
155,2021-10-30,CHI,,UTA,W 107-99,240,39,91,.429,34,70,.486,5,21,.238,24,30,.800,107,35,92,.380,24,54,.444,11,38,.289,18,19,.947,99
156,2021-10-30,UTA,@,CHI,L 99-107,240,35,92,.380,24,54,.444,11,38,.289,18,19,.947,99,39,91,.429,34,70,.486,5,21,.238,24,30,.800,107
157,2021-10-30,DET,,ORL,W 110-103,240,36,89,.404,22,46,.478,14,43,.326,24,30,.800,110,38,87,.437,22,55,.400,16,32,.500,11,15,.733,103
158,2021-10-30,ORL,@,DET,L 103-110,240,38,87,.437,22,55,.400,16,32,.500,11,15,.733,103,36,89,.404,22,46,.478,14,43,.326,24,30,.800,110
159,2021-10-30,GSW,,OKC,W 103-82,240,39,92,.424,18,38,.474,21,54,.389,4,8,.500,103,29,83,.349,21,44,.477,8,39,.205,16,21,.762,82
160,2021-10-30,OKC,@,GSW,L 82-103,240,29,83,.349,21,44,.477,8,39,.205,16,21,.762,82,39,92,.424,18,38,.474,21,54,.389,4,8,.500,103
161,2021-10-30,IND,,TOR,L 94-97,240,35,81,.432,22,38,.579,13,43,.302,11,16,.688,94,39,92,.424,28,60,.467,11,32,.344,8,12,.667,97
162,2021-10-30,TOR,@,IND,W 97-94,240,39,92,.424,28,60,.467,11,32,.344,8,12,.667,97,35,81,.432,22,38,.579,13,43,.302,11,16,.688,94
163,2021-10-30,MEM,,MIA,L 103-129,240,34,88,.386,18,38,.474,16,50,.320,19,21,.905,103,46,88,.523,25,51,.490,21,37,.568,16,19,.842,129
164,2021-10-30,MIA,@,MEM,W 129-103,240,46,88,.523,25,51,.490,21,37,.568,16,19,.842,129,34,88,.386,18,38,.474,16,50,.320,19,21,.905,103
165,2021-10-30,MIL,,SAS,L 93-102,240,36,89,.404,26,50,.520,10,39,.256,11,16,.688,93,39,95,.411,32,64,.500,7,31,.226,17,24,.708,102
166,2021-10-30,SAS,@,MIL,W 102-93,240,39,95,.411,32,64,.500,7,31,.226,17,24,.708,102,36,89,.404,26,50,.520,10,39,.256,11,16,.688,93
167,2021-10-30,DEN,@,MIN,W 93-91,240,36,88,.409,27,51,.529,9,37,.243,12,16,.750,93,35,89,.393,22,48,.458,13,41,.317,8,9,.889,91
168,2021-10-30,MIN,,DEN,L 91-93,240,35,89,.393,22,48,.458,13,41,.317,8,9,.889,91,36,88,.409,27,51,.529,9,37,.243,12,16,.750,93
169,2021-10-30,NOP,,NYK,L 117-123,240,42,92,.457,31,59,.525,11,33,.333,22,24,.917,117,42,81,.519,23,48,.479,19,33,.576,20,25,.800,123
170,2021-10-30,NYK,@,NOP,W 123-117,240,42,81,.519,23,48,.479,19,33,.576,20,25,.800,123,42,92,.457,31,59,.525,11,33,.333,22,24,.917,117
171,2021-10-30,ATL,@,PHI,L 94-122,240,36,95,.379,28,73,.384,8,22,.364,14,19,.737,94,46,86,.535,34,48,.708,12,38,.316,18,19,.947,122
172,2021-10-30,PHI,,ATL,W 122-94,240,46,86,.535,34,48,.708,12,38,.316,18,19,.947,122,36,95,.379,28,73,.384,8,22,.364,14,19,.737,94
173,2021-10-30,CLE,@,PHO,L 92-101,240,36,91,.396,22,47,.468,14,44,.318,6,7,.857,92,39,84,.464,33,58,.569,6,26,.231,17,27,.630,101
174,2021-10-30,PHO,,CLE,W 101-92,240,39,84,.464,33,58,.569,6,26,.231,17,27,.630,101,36,91,.396,22,47,.468,14,44,.318,6,7,.857,92
175,2021-10-30,BOS,@,WAS,L 112-115 (2OT),290,44,107,.411,42,81,.519,2,26,.077,22,25,.880,112,38,104,.365,28,68,.412,10,36,.278,29,36,.806,115
176,2021-10-30,WAS,,BOS,W 115-112 (2OT),290,38,104,.365,28,68,.412,10,36,.278,29,36,.806,115,44,107,.411,42,81,.519,2,26,.077,22,25,.880,112
177,2021-10-31,BRK,,DET,W 117-91,240,47,72,.653,34,47,.723,13,25,.520,10,16,.625,117,32,79,.405,20,46,.435,12,33,.364,15,22,.682,91
178,2021-10-31,DET,@,BRK,L 91-117,240,32,79,.405,20,46,.435,12,33,.364,15,22,.682,91,47,72,.653,34,47,.723,13,25,.520,10,16,.625,117
179,2021-10-31,CHO,,POR,W 125-113,240,46,89,.517,26,47,.553,20,42,.476,13,21,.619,125,43,97,.443,26,43,.605,17,54,.315,10,11,.909,113
