Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
365,2021-11-12,OKC,,SAC,W 105-103,240,42,99,.424,32,69,.464,10,30,.333,11,15,.733,105,38,95,.400,24,54,.444,14,41,.341,13,17,.765,103
366,2021-11-12,SAC,@,OKC,L 103-105,240,38,95,.400,24,54,.444,14,41,.341,13,17,.765,103,42,99,.424,32,69,.464,10,30,.333,11,15,.733,105
367,2021-11-12,DAL,@,SAS,W 123-109,240,46,100,.460,28,55,.509,18,45,.400,13,19,.684,123,41,84,.488,28,54,.519,13,30,.433,14,20,.700,109
368,2021-11-12,SAS,,DAL,L 109-123,240,41,84,.488,28,54,.519,13,30,.433,14,20,.700,109,46,100,.460,28,55,.509,18,45,.400,13,19,.684,123
369,2021-11-13,BOS,@,CLE,L 89-91,240,33,78,.423,27,55,.491,6,23,.261,17,18,.944,89,31,81,.383,21,43,.488,10,38,.263,19,22,.864,91
370,2021-11-13,CLE,,BOS,W 91-89,240,31,81,.383,21,43,.488,10,38,.263,19,22,.864,91,33,78,.423,27,55,.491,6,23,.261,17,18,.944,89
371,2021-11-13,IND,,PHI,W 118-113,240,47,82,.573,33,54,.611,14,28,.500,10,15,.667,118,38,89,.427,26,66,.394,12,23,.522,25,29,.862,113
372,2021-11-13,PHI,@,IND,L 113-118,240,38,89,.427,26,66,.394,12,23,.522,25,29,.862,113,47,82,.573,33,54,.611,14,28,.500,10,15,.667,118
373,2021-11-13,LAC,,MIN,W 129-102,240,53,99,.535,37,59,.627,16,40,.400,7,9,.778,129,40,102,.392,29,66,.439,11,36,.306,11,16,.688,102
374,2021-11-13,MIN,@,LAC,L 102-129,240,40,102,.392,29,66,.439,11,36,.306,11,16,.688,102,53,99,.535,37,59,.627,16,40,.400,7,9,.778,129
375,2021-11-13,MEM,@,NOP,L 101-112,240,38,88,.432,30,64,.469,8,24,.333,17,21,.810,101,38,79,.481,24,50,.480,14,29,.483,22,25,.880,112
376,2021-11-13,NOP,,MEM,W 112-101,240,38,79,.481,24,50,.480,14,29,.483,22,25,.880,112,38,88,.432,30,64,.469,8,24,.333,17,21,.810,101
377,2021-11-13,ORL,,WAS,L 92-104,240,31,92,.337,18,52,.346,13,40,.325,17,20,.850,92,42,84,.500,30,49,.612,12,35,.343,8,10,.800,104
378,2021-11-13,WAS,@,ORL,W 104-92,240,42,84,.500,30,49,.612,12,35,.343,8,10,.800,104,31,92,.337,18,52,.346,13,40,.325,17,20,.850,92
379,2021-11-13,DET,@,TOR,W 127-121,240,43,79,.544,28,44,.636,15,35,.429,26,30,.867,127,44,87,.506,31,53,.585,13,34,.382,20,31,.645,121
380,2021-11-13,TOR,,DET,L 121-127,240,44,87,.506,31,53,.585,13,34,.382,20,31,.645,121,43,79,.544,28,44,.636,15,35,.429,26,30,.867,127
381,2021-11-13,MIA,@,UTA,W 111-105,240,42,85,.494,29,52,.558,13,33,.394,14,16,.875,111,35,85,.412,18,32,.563,17,53,.321,18,25,.720,105
382,2021-11-13,UTA,,MIA,L 105-111,240,35,85,.412,18,32,.563,17,53,.321,18,25,.720,105,42,85,.494,29,52,.558,13,33,.394,14,16,.875,111
383,2021-11-14,ATL,,MIL,W 120-100,240,47,97,.485,32,62,.516,15,35,.429,11,13,.846,120,38,84,.452,24,43,.558,14,41,.341,10,16,.625,100
384,2021-11-14,MIL,@,ATL,L 100-120,240,38,84,.452,24,43,.558,14,41,.341,10,16,.625,100,47,97,.485,32,62,.516,15,35,.429,11,13,.846,120
385,2021-11-14,CHO,,GSW,W 106-102,240,42,88,.477,28,52,.538,14,36,.389,8,12,.667,106,38,90,.422,29,51,.569,9,39,.231,17,25,.680,102
386,2021-11-14,GSW,@,CHO,L 102-106,240,38,90,.422,29,51,.569,9,39,.231,17,25,.680,102,42,88,.477,28,52,.538,14,36,.389,8,12,.667,106
387,2021-11-14,DEN,,POR,W 124-95,240,47,90,.522,28,50,.560,19,40,.475,11,14,.786,124,35,80,.438,22,41,.537,13,39,.333,12,13,.923,95
388,2021-11-14,POR,@,DEN,L 95-124,240,35,80,.438,22,41,.537,13,39,.333,12,13,.923,95,47,90,.522,28,50,.560,19,40,.475,11,14,.786,124
389,2021-11-14,HOU,,PHO,L 89-115,240,35,85,.412,28,53,.528,7,32,.219,12,18,.667,89,42,97,.433,28,57,.491,14,40,.350,17,20,.850,115
390,2021-11-14,PHO,@,HOU,W 115-89,240,42,97,.433,28,57,.491,14,40,.350,17,20,.850,115,35,85,.412,28,53,.528,7,32,.219,12,18,.667,89
391,2021-11-14,CHI,@,LAC,W 100-90,240,38,86,.442,27,57,.474,11,29,.379,13,14,.929,100,29,81,.358,18,47,.383,11,34,.324,21,21,1.000,90
392,2021-11-14,LAC,,CHI,L 90-100,240,29,81,.358,18,47,.383,11,34,.324,21,21,1.000,90,38,86,.442,27,57,.474,11,29,.379,13,14,.929,100
393,2021-11-14,LAL,,SAS,W 114-106,240,43,83,.518,28,52,.538,15,31,.484,13,17,.765,114,40,90,.444,24,54,.444,16,36,.444,10,15,.667,106
394,2021-11-14,SAS,@,LAL,L 106-114,240,40,90,.444,24,54,.444,16,36,.444,10,15,.667,106,43,83,.518,28,52,.538,15,31,.484,13,17,.765,114
395,2021-11-14,BRK,@,OKC,W 120-96,240,41,82,.500,23,39,.590,18,43,.419,20,21,.952,120,36,90,.400,22,45,.489,14,45,.311,10,11,.909,96
396,2021-11-14,OKC,,BRK,L 96-120,240,36,90,.400,22,45,.489,14,45,.311,10,11,.909,96,41,82,.500,23,39,.590,18,43,.419,20,21,.952,120
397,2021-11-15,ATL,,ORL,W 129-111,240,47,85,.553,33,55,.600,14,30,.467,21,32,.656,129,43,95,.453,27,52,.519,16,43,.372,9,14,.643,111
398,2021-11-15,ORL,@,ATL,L 111-129,240,43,95,.453,27,52,.519,16,43,.372,9,14,.643,111,47,85,.553,33,55,.600,14,30,.467,21,32,.656,129
399,2021-11-15,BOS,@,CLE,W 98-92,240,36,78,.462,26,49,.531,10,29,.345,16,20,.800,98,32,83,.386,16,43,.372,16,40,.400,12,16,.750,92
400,2021-11-15,CLE,,BOS,L 92-98,240,32,83,.386,16,43,.372,16,40,.400,12,16,.750,92,36,78,.462,26,49,.531,10,29,.345,16,20,.800,98
401,2021-11-15,DAL,,DEN,W 111-101,240,45,90,.500,31,54,.574,14,36,.389,7,10,.700,111,40,84,.476,31,52,.596,9,32,.281,12,17,.706,101
402,2021-11-15,DEN,@,DAL,L 101-111,240,40,84,.476,31,52,.596,9,32,.281,12,17,.706,101,45,90,.500,31,54,.574,14,36,.389,7,10,.700,111
403,2021-11-15,DET,,SAC,L 107-129,240,39,96,.406,26,49,.531,13,47,.277,16,17,.941,107,52,98,.531,36,65,.554,16,33,.485,9,11,.818,129
404,2021-11-15,SAC,@,DET,W 129-107,240,52,98,.531,36,65,.554,16,33,.485,9,11,.818,129,39,96,.406,26,49,.531,13,47,.277,16,17,.941,107
405,2021-11-15,CHI,@,LAL,W 121-103,240,49,89,.551,34,55,.618,15,34,.441,8,11,.727,121,36,79,.456,30,47,.638,6,32,.188,25,31,.806,103
406,2021-11-15,LAL,,CHI,L 103-121,240,36,79,.456,30,47,.638,6,32,.188,25,31,.806,103,49,89,.551,34,55,.618,15,34,.441,8,11,.727,121
407,2021-11-15,HOU,@,MEM,L 102-136,240,36,95,.379,25,57,.439,11,38,.289,19,26,.731,102,52,96,.542,36,55,.655,16,41,.390,16,20,.800,136
408,2021-11-15,MEM,,HOU,W 136-102,240,52,96,.542,36,55,.655,16,41,.390,16,20,.800,136,36,95,.379,25,57,.439,11,38,.289,19,26,.731,102
409,2021-11-15,MIN,,PHO,L 96-99,240,31,85,.365,18,41,.439,13,44,.295,21,27,.778,96,32,85,.376,25,54,.463,7,31,.226,28,36,.778,99
410,2021-11-15,PHO,@,MIN,W 99-96,240,32,85,.376,25,54,.463,7,31,.226,28,36,.778,99,31,85,.365,18,41,.439,13,44,.295,21,27,.778,96
411,2021-11-15,IND,@,NYK,L 84-92,240,32,86,.372,24,49,.490,8,37,.216,12,16,.750,84,37,86,.430,26,52,.500,11,34,.324,7,10,.700,92
412,2021-11-15,NYK,,IND,W 92-84,240,37,86,.430,26,52,.500,11,34,.324,7,10,.700,92,32,86,.372,24,49,.490,8,37,.216,12,16,.750,84
413,2021-11-15,MIA,@,OKC,W 103-90,240,37,82,.451,19,42,.452,18,40,.450,11,13,.846,103,34,83,.410,19,42,.452,15,41,.366,7,10,.700,90
414,2021-11-15,OKC,,MIA,L 90-103,240,34,83,.410,19,42,.452,15,41,.366,7,10,.700,90,37,82,.451,19,42,.452,18,40,.450,11,13,.846,103
415,2021-11-15,POR,,TOR,W 118-113,240,46,82,.561,30,46,.652,16,36,.444,10,14,.714,118,41,89,.461,26,56,.464,15,33,.455,16,18,.889,113
416,2021-11-15,TOR,@,POR,L 113-118,240,41,89,.461,26,56,.464,15,33,.455,16,18,.889,113,46,82,.561,30,46,.652,16,36,.444,10,14,.714,118
417,2021-11-15,NOP,@,WAS,L 100-105,240,30,74,.405,19,53,.358,11,21,.524,29,34,.853,100,39,84,.464,29,56,.518,10,28,.357,17,25,.680,105
418,2021-11-15,WAS,,NOP,W 105-100,240,39,84,.464,29,56,.518,10,28,.357,17,25,.680,105,30,74,.405,19,53,.358,11,21,.524,29,34,.853,100
419,2021-11-16,BRK,,GSW,L 99-117,240,34,88,.386,24,52,.462,10,36,.278,21,27,.778,99,41,79,.519,28,39,.718,13,40,.325,22,28,.786,117
420,2021-11-16,GSW,@,BRK,W 117-99,240,41,79,.519,28,39,.718,13,40,.325,22,28,.786,117,34,88,.386,24,52,.462,10,36,.278,21,27,.778,99
421,2021-11-16,LAC,,SAS,W 106-92,240,37,85,.435,25,47,.532,12,38,.316,20,22,.909,106,41,95,.432,36,73,.493,5,22,.227,5,7,.714,92
422,2021-11-16,SAS,@,LAC,L 92-106,240,41,95,.432,36,73,.493,5,22,.227,5,7,.714,92,37,85,.435,25,47,.532,12,38,.316,20,22,.909,106
423,2021-11-16,PHI,@,UTA,L 85-120,240,33,90,.367,27,61,.443,6,29,.207,13,17,.765,85,46,89,.517,30,51,.588,16,38,.421,12,19,.632,120
424,2021-11-16,UTA,,PHI,W 120-85,240,46,89,.517,30,51,.588,16,38,.421,12,19,.632,120,33,90,.367,27,61,.443,6,29,.207,13,17,.765,85
425,2021-11-17,ATL,,BOS,W 110-99,240,41,81,.506,28,44,.636,13,37,.351,15,18,.833,110,37,84,.440,26,43,.605,11,41,.268,14,17,.824,99
426,2021-11-17,BOS,@,ATL,L 99-110,240,37,84,.440,26,43,.605,11,41,.268,14,17,.824,99,41,81,.506,28,44,.636,13,37,.351,15,18,.833,110
427,2021-11-17,BRK,,CLE,W 109-99,240,38,83,.458,26,51,.510,12,32,.375,21,25,.840,109,35,89,.393,24,45,.533,11,44,.250,18,21,.857,99
428,2021-11-17,CLE,@,BRK,L 99-109,240,35,89,.393,24,45,.533,11,44,.250,18,21,.857,99,38,83,.458,26,51,.510,12,32,.375,21,25,.840,109
429,2021-11-17,CHO,,WAS,W 97-87,240,42,96,.438,32,64,.500,10,32,.313,3,6,.500,97,33,90,.367,25,48,.521,8,42,.190,13,16,.813,87
430,2021-11-17,WAS,@,CHO,L 87-97,240,33,90,.367,25,48,.521,8,42,.190,13,16,.813,87,42,96,.438,32,64,.500,10,32,.313,3,6,.500,97
431,2021-11-17,DET,,IND,W 97-89,240,34,80,.425,26,52,.500,8,28,.286,21,28,.750,97,33,79,.418,24,42,.571,9,37,.243,14,19,.737,89
432,2021-11-17,IND,@,DET,L 89-97,240,33,79,.418,24,42,.571,9,37,.243,14,19,.737,89,34,80,.425,26,52,.500,8,28,.286,21,28,.750,97
433,2021-11-17,MIA,,NOP,W 113-98,240,42,87,.483,27,47,.574,15,40,.375,14,17,.824,113,33,75,.440,23,40,.575,10,35,.286,22,28,.786,98
434,2021-11-17,NOP,@,MIA,L 98-113,240,33,75,.440,23,40,.575,10,35,.286,22,28,.786,98,42,87,.483,27,47,.574,15,40,.375,14,17,.824,113
435,2021-11-17,LAL,@,MIL,L 102-109,240,40,96,.417,28,53,.528,12,43,.279,10,12,.833,102,40,87,.460,28,50,.560,12,37,.324,17,24,.708,109
436,2021-11-17,MIL,,LAL,W 109-102,240,40,87,.460,28,50,.560,12,37,.324,17,24,.708,109,40,96,.417,28,53,.528,12,43,.279,10,12,.833,102
437,2021-11-17,MIN,,SAC,W 107-97,240,41,82,.500,31,46,.674,10,36,.278,15,18,.833,107,34,93,.366,24,55,.436,10,38,.263,19,25,.760,97
438,2021-11-17,SAC,@,MIN,L 97-107,240,34,93,.366,24,55,.436,10,38,.263,19,25,.760,97,41,82,.500,31,46,.674,10,36,.278,15,18,.833,107
439,2021-11-17,NYK,,ORL,L 98-104,240,37,88,.420,21,39,.538,16,49,.327,8,12,.667,98,39,96,.406,28,58,.483,11,38,.289,15,18,.833,104
440,2021-11-17,ORL,@,NYK,W 104-98,240,39,96,.406,28,58,.483,11,38,.289,15,18,.833,104,37,88,.420,21,39,.538,16,49,.327,8,12,.667,98
441,2021-11-17,HOU,@,OKC,L 89-101,240,32,90,.356,20,48,.417,12,42,.286,13,19,.684,89,41,92,.446,31,53,.585,10,39,.256,9,16,.563,101
442,2021-11-17,OKC,,HOU,W 101-89,240,41,92,.446,31,53,.585,10,39,.256,9,16,.563,101,32,90,.356,20,48,.417,12,42,.286,13,19,.684,89
443,2021-11-17,DAL,@,PHO,L 98-105,240,38,91,.418,22,59,.373,16,32,.500,6,6,1.000,98,41,93,.441,28,54,.519,13,39,.333,10,14,.714,105
444,2021-11-17,PHO,,DAL,W 105-98,240,41,93,.441,28,54,.519,13,39,.333,10,14,.714,105,38,91,.418,22,59,.373,16,32,.500,6,6,1.000,98
445,2021-11-17,CHI,@,POR,L 107-112,240,39,83,.470,26,54,.481,13,29,.448,16,20,.800,107,37,84,.440,26,53,.491,11,31,.355,27,28,.964,112
446,2021-11-17,POR,,CHI,W 112-107,240,37,84,.440,26,53,.491,11,31,.355,27,28,.964,112,39,83,.470,26,54,.481,13,29,.448,16,20,.800,107
447,2021-11-18,CLE,,GSW,L 89-104,240,34,80,.425,22,41,.537,12,39,.308,9,16,.563,89,41,83,.494,26,40,.650,15,43,.349,7,8,.875,104
448,2021-11-18,GSW,@,CLE,W 104-89,240,41,83,.494,26,40,.650,15,43,.349,7,8,.875,104,34,80,.425,22,41,.537,12,39,.308,9,16,.563,89
449,2021-11-18,DEN,,PHI,L 89-103,240,32,89,.360,20,53,.377,12,36,.333,13,16,.813,89,43,85,.506,32,56,.571,11,29,.379,6,12,.500,103
450,2021-11-18,PHI,@,DEN,W 103-89,240,43,85,.506,32,56,.571,11,29,.379,6,12,.500,103,32,89,.360,20,53,.377,12,36,.333,13,16,.813,89
451,2021-11-18,LAC,@,MEM,L 108-120,240,42,90,.467,26,51,.510,16,39,.410,8,8,1.000,108,52,96,.542,41,70,.586,11,26,.423,5,6,.833,120
452,2021-11-18,MEM,,LAC,W 120-108,240,52,96,.542,41,70,.586,11,26,.423,5,6,.833,120,42,90,.467,26,51,.510,16,39,.410,8,8,1.000,108
453,2021-11-18,MIA,,WAS,W 112-97,240,41,82,.500,31,56,.554,10,26,.385,20,24,.833,112,38,77,.494,23,41,.561,15,36,.417,6,10,.600,97
454,2021-11-18,WAS,@,MIA,L 97-112,240,38,77,.494,23,41,.561,15,36,.417,6,10,.600,97,41,82,.500,31,56,.554,10,26,.385,20,24,.833,112
455,2021-11-18,MIN,,SAS,W 115-90,240,41,86,.477,20,37,.541,21,49,.429,12,15,.800,115,35,84,.417,29,52,.558,6,32,.188,14,19,.737,90
456,2021-11-18,SAS,@,MIN,L 90-115,240,35,84,.417,29,52,.558,6,32,.188,14,19,.737,90,41,86,.477,20,37,.541,21,49,.429,12,15,.800,115
457,2021-11-18,TOR,@,UTA,L 103-119,240,39,94,.415,29,56,.518,10,38,.263,15,17,.882,103,44,80,.550,25,34,.735,19,46,.413,12,13,.923,119
458,2021-11-18,UTA,,TOR,W 119-103,240,44,80,.550,25,34,.735,19,46,.413,12,13,.923,119,39,94,.415,29,56,.518,10,38,.263,15,17,.882,103
459,2021-11-19,BOS,,LAL,W 130-108,240,44,88,.500,33,58,.569,11,30,.367,31,38,.816,130,39,84,.464,27,54,.500,12,30,.400,18,24,.750,108
460,2021-11-19,LAL,@,BOS,L 108-130,240,39,84,.464,27,54,.500,12,30,.400,18,24,.750,108,44,88,.500,33,58,.569,11,30,.367,31,38,.816,130
461,2021-11-19,BRK,,ORL,W 115-113,240,41,91,.451,31,58,.534,10,33,.303,23,25,.920,115,40,89,.449,26,51,.510,14,38,.368,19,25,.760,113
462,2021-11-19,ORL,@,BRK,L 113-115,240,40,89,.449,26,51,.510,14,38,.368,19,25,.760,113,41,91,.451,31,58,.534,10,33,.303,23,25,.920,115
463,2021-11-19,CHO,,IND,W 121-118,240,44,81,.543,32,50,.640,12,31,.387,21,28,.750,121,41,88,.466,30,52,.577,11,36,.306,25,32,.781,118
464,2021-11-19,IND,@,CHO,L 118-121,240,41,88,.466,30,52,.577,11,36,.306,25,32,.781,118,44,81,.543,32,50,.640,12,31,.387,21,28,.750,121
465,2021-11-19,CHI,@,DEN,W 114-108,240,41,93,.441,33,62,.532,8,31,.258,24,24,1.000,114,39,82,.476,25,45,.556,14,37,.378,16,20,.800,108
466,2021-11-19,DEN,,CHI,L 108-114,240,39,82,.476,25,45,.556,14,37,.378,16,20,.800,108,41,93,.441,33,62,.532,8,31,.258,24,24,1.000,114
467,2021-11-19,DET,,GSW,L 102-105,240,32,80,.400,18,38,.474,14,42,.333,24,30,.800,102,38,80,.475,26,50,.520,12,30,.400,17,21,.810,105
468,2021-11-19,GSW,@,DET,W 105-102,240,38,80,.475,26,50,.520,12,30,.400,17,21,.810,105,32,80,.400,18,38,.474,14,42,.333,24,30,.800,102
469,2021-11-19,MIL,,OKC,W 96-89,240,31,83,.373,19,42,.452,12,41,.293,22,26,.846,96,32,91,.352,20,43,.465,12,48,.250,13,21,.619,89
470,2021-11-19,OKC,@,MIL,L 89-96,240,32,91,.352,20,43,.465,12,48,.250,13,21,.619,89,31,83,.373,19,42,.452,12,41,.293,22,26,.846,96
471,2021-11-19,LAC,@,NOP,L 81-94,240,34,90,.378,25,53,.472,9,37,.243,4,5,.800,81,38,87,.437,25,57,.439,13,30,.433,5,8,.625,94
472,2021-11-19,NOP,,LAC,W 94-81,240,38,87,.437,25,57,.439,13,30,.433,5,8,.625,94,34,90,.378,25,53,.472,9,37,.243,4,5,.800,81
473,2021-11-19,DAL,@,PHO,L 104-112,240,37,90,.411,25,50,.500,12,40,.300,18,23,.783,104,44,85,.518,30,56,.536,14,29,.483,10,14,.714,112
474,2021-11-19,PHO,,DAL,W 112-104,240,44,85,.518,30,56,.536,14,29,.483,10,14,.714,112,37,90,.411,25,50,.500,12,40,.300,18,23,.783,104
475,2021-11-19,SAC,,TOR,L 89-108,240,32,84,.381,23,47,.489,9,37,.243,16,25,.640,89,38,84,.452,26,53,.491,12,31,.387,20,24,.833,108
476,2021-11-19,TOR,@,SAC,W 108-89,240,38,84,.452,26,53,.491,12,31,.387,20,24,.833,108,32,84,.381,23,47,.489,9,37,.243,16,25,.640,89
477,2021-11-20,ATL,,CHO,W 115-105,240,43,82,.524,31,48,.646,12,34,.353,17,21,.810,115,43,102,.422,33,62,.532,10,40,.250,9,15,.600,105
478,2021-11-20,CHO,@,ATL,L 105-115,240,43,102,.422,33,62,.532,10,40,.250,9,15,.600,105,43,82,.524,31,48,.646,12,34,.353,17,21,.810,115
479,2021-11-20,BOS,,OKC,W 111-105,240,41,88,.466,24,49,.490,17,39,.436,12,14,.857,111,39,96,.406,21,54,.389,18,42,.429,9,16,.563,105
480,2021-11-20,OKC,@,BOS,L 105-111,240,39,96,.406,21,54,.389,18,42,.429,9,16,.563,105,41,88,.466,24,49,.490,17,39,.436,12,14,.857,111
481,2021-11-20,IND,,NOP,W 111-94,240,42,91,.462,28,53,.528,14,38,.368,13,18,.722,111,35,88,.398,29,70,.414,6,18,.333,18,19,.947,94
482,2021-11-20,NOP,@,IND,L 94-111,240,35,88,.398,29,70,.414,6,18,.333,18,19,.947,94,42,91,.462,28,53,.528,14,38,.368,13,18,.722,111
483,2021-11-20,MIL,,ORL,W 117-108,240,37,82,.451,18,42,.429,19,40,.475,24,37,.649,117,39,98,.398,20,47,.426,19,51,.373,11,14,.786,108
484,2021-11-20,ORL,@,MIL,L 108-117,240,39,98,.398,20,47,.426,19,51,.373,11,14,.786,108,37,82,.451,18,42,.429,19,40,.475,24,37,.649,117
485,2021-11-20,MEM,@,MIN,L 95-138,240,29,83,.349,20,51,.392,9,32,.281,28,35,.800,95,49,91,.538,29,50,.580,20,41,.488,20,28,.714,138
486,2021-11-20,MIN,,MEM,W 138-95,240,49,91,.538,29,50,.580,20,41,.488,20,28,.714,138,29,83,.349,20,51,.392,9,32,.281,28,35,.800,95
487,2021-11-20,HOU,@,NYK,L 99-106,240,38,84,.452,28,45,.622,10,39,.256,13,22,.591,99,33,78,.423,15,37,.405,18,41,.439,22,26,.846,106
488,2021-11-20,NYK,,HOU,W 106-99,240,33,78,.423,15,37,.405,18,41,.439,22,26,.846,106,38,84,.452,28,45,.622,10,39,.256,13,22,.591,99
489,2021-11-20,PHI,@,POR,L 111-118,240,41,81,.506,31,53,.585,10,28,.357,19,21,.905,111,40,80,.500,25,46,.543,15,34,.441,23,23,1.000,118
490,2021-11-20,POR,,PHI,W 118-111,240,40,80,.500,25,46,.543,15,34,.441,23,23,1.000,118,41,81,.506,31,53,.585,10,28,.357,19,21,.905,111
491,2021-11-20,SAC,,UTA,L 105-123,240,41,91,.451,31,60,.517,10,31,.323,13,21,.619,105,46,91,.505,29,52,.558,17,39,.436,14,17,.824,123
492,2021-11-20,UTA,@,SAC,W 123-105,240,46,91,.505,29,52,.558,17,39,.436,14,17,.824,123,41,91,.451,31,60,.517,10,31,.323,13,21,.619,105
493,2021-11-20,MIA,@,WAS,L 100-103,240,38,81,.469,31,54,.574,7,27,.259,17,20,.850,100,36,74,.486,25,44,.568,11,30,.367,20,23,.870,103
494,2021-11-20,WAS,,MIA,W 103-100,240,36,74,.486,25,44,.568,11,30,.367,20,23,.870,103,38,81,.469,31,54,.574,7,27,.259,17,20,.850,100
495,2021-11-21,CHI,,NYK,W 109-103,240,37,88,.420,26,59,.441,11,29,.379,24,27,.889,109,35,84,.417,28,57,.491,7,27,.259,26,31,.839,103
496,2021-11-21,NYK,@,CHI,L 103-109,240,35,84,.417,28,57,.491,7,27,.259,26,31,.839,103,37,88,.420,26,59,.441,11,29,.379,24,27,.889,109
497,2021-11-21,DET,,LAL,L 116-121,240,43,97,.443,29,57,.509,14,40,.350,16,21,.762,116,45,92,.489,35,61,.574,10,31,.323,21,27,.778,121
498,2021-11-21,LAL,@,DET,W 121-116,240,45,92,.489,35,61,.574,10,31,.323,21,27,.778,121,43,97,.443,29,57,.509,14,40,.350,16,21,.762,116
499,2021-11-21,GSW,,TOR,W 119-104,240,39,79,.494,17,34,.500,22,45,.489,19,24,.792,119,39,99,.394,24,62,.387,15,37,.405,11,20,.550,104
500,2021-11-21,TOR,@,GSW,L 104-119,240,39,99,.394,24,62,.387,15,37,.405,11,20,.550,104,39,79,.494,17,34,.500,22,45,.489,19,24,.792,119
501,2021-11-21,DAL,@,LAC,L 91-97,240,34,83,.410,28,53,.528,6,30,.200,17,18,.944,91,36,75,.480,24,46,.522,12,29,.414,13,18,.722,97
502,2021-11-21,LAC,,DAL,W 97-91,240,36,75,.480,24,46,.522,12,29,.414,13,18,.722,97,34,83,.410,28,53,.528,6,30,.200,17,18,.944,91
503,2021-11-21,DEN,@,PHO,L 97-126,240,33,90,.367,22,52,.423,11,38,.289,20,28,.714,97,46,87,.529,35,51,.686,11,36,.306,23,26,.885,126
504,2021-11-21,PHO,,DEN,W 126-97,240,46,87,.529,35,51,.686,11,36,.306,23,26,.885,126,33,90,.367,22,52,.423,11,38,.289,20,28,.714,97
505,2021-11-22,ATL,,OKC,W 113-101,240,42,87,.483,28,53,.528,14,34,.412,15,16,.938,113,39,97,.402,29,59,.492,10,38,.263,13,14,.929,101
506,2021-11-22,OKC,@,ATL,L 101-113,240,39,97,.402,29,59,.492,10,38,.263,13,14,.929,101,42,87,.483,28,53,.528,14,34,.412,15,16,.938,113
507,2021-11-22,BOS,,HOU,W 108-90,240,39,92,.424,27,57,.474,12,35,.343,18,19,.947,108,31,83,.373,20,41,.488,11,42,.262,17,24,.708,90
508,2021-11-22,HOU,@,BOS,L 90-108,240,31,83,.373,20,41,.488,11,42,.262,17,24,.708,90,39,92,.424,27,57,.474,12,35,.343,18,19,.947,108
509,2021-11-22,CHI,,IND,L 77-109,240,31,85,.365,25,57,.439,6,28,.214,9,15,.600,77,40,90,.444,27,59,.458,13,31,.419,16,18,.889,109
510,2021-11-22,IND,@,CHI,W 109-77,240,40,90,.444,27,59,.458,13,31,.419,16,18,.889,109,31,85,.365,25,57,.439,6,28,.214,9,15,.600,77
511,2021-11-22,BRK,@,CLE,W 117-112,240,45,95,.474,34,60,.567,11,35,.314,16,18,.889,117,36,93,.387,22,49,.449,14,44,.318,26,29,.897,112
512,2021-11-22,CLE,,BRK,L 112-117,240,36,93,.387,22,49,.449,14,44,.318,26,29,.897,112,45,95,.474,34,60,.567,11,35,.314,16,18,.889,117
513,2021-11-22,MIL,,ORL,W 123-92,240,44,94,.468,26,49,.531,18,45,.400,17,24,.708,123,34,93,.366,23,52,.442,11,41,.268,13,18,.722,92
514,2021-11-22,ORL,@,MIL,L 92-123,240,34,93,.366,23,52,.442,11,41,.268,13,18,.722,92,44,94,.468,26,49,.531,18,45,.400,17,24,.708,123
515,2021-11-22,MIN,@,NOP,W 110-96,240,40,100,.400,30,56,.536,10,44,.227,20,28,.714,110,37,88,.420,31,56,.554,6,32,.188,16,18,.889,96
516,2021-11-22,NOP,,MIN,L 96-110,240,37,88,.420,31,56,.554,6,32,.188,16,18,.889,96,40,100,.400,30,56,.536,10,44,.227,20,28,.714,110
517,2021-11-22,PHI,@,SAC,W 102-94,240,36,85,.424,27,53,.509,9,32,.281,21,27,.778,102,33,80,.413,26,49,.531,7,31,.226,21,29,.724,94
518,2021-11-22,SAC,,PHI,L 94-102,240,33,80,.413,26,49,.531,7,31,.226,21,29,.724,94,36,85,.424,27,53,.509,9,32,.281,21,27,.778,102
519,2021-11-22,PHO,@,SAS,W 115-111,240,45,88,.511,33,61,.541,12,27,.444,13,16,.813,115,49,93,.527,44,73,.603,5,20,.250,8,16,.500,111
520,2021-11-22,SAS,,PHO,L 111-115,240,49,93,.527,44,73,.603,5,20,.250,8,16,.500,111,45,88,.511,33,61,.541,12,27,.444,13,16,.813,115
521,2021-11-22,MEM,@,UTA,W 119-118,240,42,95,.442,29,60,.483,13,35,.371,22,27,.815,119,41,87,.471,24,44,.545,17,43,.395,19,25,.760,118
522,2021-11-22,UTA,,MEM,L 118-119,240,41,87,.471,24,44,.545,17,43,.395,19,25,.760,118,42,95,.442,29,60,.483,13,35,.371,22,27,.815,119
523,2021-11-22,CHO,@,WAS,W 109-103,240,40,91,.440,25,60,.417,15,31,.484,14,24,.583,109,36,94,.383,27,57,.474,9,37,.243,22,27,.815,103
524,2021-11-22,WAS,,CHO,L 103-109,240,36,94,.383,27,57,.474,9,37,.243,22,27,.815,103,40,91,.440,25,60,.417,15,31,.484,14,24,.583,109
