Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
3009,Austin Rivers\riverau01,29-097,G,DEN,,HOU,W,2021-11-06,0,9,0,1,.000,0,1,.000,0,0,,0,0,,.000,0,2,2,0,1,0,0,1,0,0.5,-5.9
3010,Duncan Robinson\robindu01,27-198,G-F,MIA,,UTA,W,2021-11-06,1,23,1,5,.200,0,0,,1,5,.200,0,0,,.300,0,2,2,1,1,0,0,4,3,0.6,-8.1
3011,Rajon Rondo\rondora01,35-257,G,LAL,@,POR,L,2021-11-06,0,13,1,6,.167,1,4,.250,0,2,.000,0,0,,.167,0,3,3,2,1,0,1,1,2,0.1,-11.2
3012,Dennis Schröder\schrode01,28-052,G,BOS,@,DAL,L,2021-11-06,1,39,9,22,.409,8,16,.500,1,6,.167,1,1,1.000,.446,1,3,4,6,0,0,1,1,20,12.6,-2.4
3013,Alperen Şengün\sengual01,19-104,F,HOU,@,DEN,L,2021-11-06,0,14,3,4,.750,2,3,.667,1,1,1.000,2,2,1.000,.922,0,4,4,3,0,1,0,4,9,9.8,17.9
3014,Landry Shamet\shamela01,24-238,G,PHO,,ATL,W,2021-11-06,0,18,3,6,.500,0,0,,3,6,.500,3,3,1.000,.820,0,3,3,2,0,0,0,2,12,10.5,9.0
3015,Anfernee Simons\simonan01,22-151,G,POR,,LAL,W,2021-11-06,0,23,4,14,.286,4,8,.500,0,6,.000,2,2,1.000,.336,3,2,5,4,0,0,1,1,10,5.9,-7.1
3016,Marcus Smart\smartma01,27-245,G,BOS,@,DAL,L,2021-11-06,1,36,2,5,.400,1,2,.500,1,3,.333,2,4,.500,.518,0,2,2,6,1,0,2,2,7,6.5,-2.7
3017,Dennis Smith Jr.\smithde03,23-346,G,POR,,LAL,W,2021-11-06,0,12,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,3,3,0,4,0,1,3,0,1.3,-2.6
3018,Tony Snell\snellto01,29-361,G-F,POR,,LAL,W,2021-11-06,0,8,0,0,,0,0,,0,0,,0,0,,,0,0,0,1,0,0,0,0,0,0.7,-3.4
3019,Jae'Sean Tate\tateja01,26-009,F,HOU,@,DEN,L,2021-11-06,1,31,4,7,.571,4,6,.667,0,1,.000,2,3,.667,.601,2,6,8,1,1,1,1,4,10,9.3,-1.1
3020,Jayson Tatum\tatumja01,23-248,F,BOS,@,DAL,L,2021-11-06,1,38,12,19,.632,6,11,.545,6,8,.750,2,2,1.000,.805,1,10,11,2,2,1,4,4,32,25.7,14.6
3021,Daniel Theis\theisda01,29-216,C,HOU,@,DEN,L,2021-11-06,1,32,8,12,.667,7,10,.700,1,2,.500,1,2,.500,.699,2,3,5,0,2,0,1,2,18,14.9,4.3
3022,P.J. Tucker\tuckepj01,36-185,F,MIA,,UTA,W,2021-11-06,1,24,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,1.042,1,2,3,1,0,0,0,1,6,7.0,2.6
3023,Nikola Vučević\vucevni01,31-013,C,CHI,,PHI,L,2021-11-06,1,36,5,16,.313,4,9,.444,1,7,.143,0,0,,.344,2,9,11,2,0,0,0,3,11,6.1,-6.4
3024,Russell Westbrook\westbru01,32-359,G,LAL,@,POR,L,2021-11-06,1,29,1,13,.077,0,10,.000,1,3,.333,5,8,.625,.242,2,7,9,6,2,0,6,3,8,0.6,-11.2
3025,Hassan Whiteside\whiteha01,32-146,C,UTA,@,MIA,L,2021-11-06,0,19,3,4,.750,3,4,.750,0,0,,0,0,,.750,2,6,8,1,0,1,0,5,6,7.0,-1.3
3026,Grant Williams\willigr01,22-341,F,BOS,@,DAL,L,2021-11-06,0,5,0,1,.000,0,0,,0,1,.000,0,0,,.000,1,1,2,0,0,0,1,0,0,-0.7,-19.5
3027,Lou Williams\willilo02,35-010,G,ATL,@,PHO,L,2021-11-06,0,9,2,5,.400,2,5,.400,0,0,,0,0,,.400,0,0,0,0,0,1,1,1,4,0.6,-9.1
3028,Robert Williams\williro04,24-020,C-F,BOS,@,DAL,L,2021-11-06,1,33,7,8,.875,7,8,.875,0,0,,2,5,.400,.784,4,4,8,0,1,0,1,1,16,15.6,3.8
3029,Christian Wood\woodch01,26-040,F,HOU,@,DEN,L,2021-11-06,1,37,4,11,.364,3,8,.375,1,3,.333,3,4,.750,.470,0,17,17,2,1,1,4,3,12,8.5,-4.2
3030,Trae Young\youngtr01,23-048,G,ATL,@,PHO,L,2021-11-06,1,39,10,23,.435,6,14,.429,4,9,.444,7,8,.875,.584,0,2,2,13,0,0,6,2,31,21.4,5.1
3031,Cody Zeller\zelleco01,29-032,C-F,POR,,LAL,W,2021-11-06,0,11,1,1,1.000,1,1,1.000,0,0,,4,4,1.000,1.087,1,2,3,0,1,0,1,3,6,5.8,1.0
3032,Precious Achiuwa\achiupr01,22-049,F,TOR,,BRK,L,2021-11-07,0,27,6,11,.545,5,9,.556,1,2,.500,0,2,.000,.547,1,7,8,0,1,1,0,2,13,10.6,-1.1
3033,LaMarcus Aldridge\aldrila01,36-111,F-C,BRK,@,TOR,W,2021-11-07,0,18,0,3,.000,0,3,.000,0,0,,2,2,1.000,.258,0,6,6,5,0,0,0,1,2,4.8,3.9
3034,Grayson Allen\allengr01,26-030,G,MIL,@,WAS,L,2021-11-07,1,34,6,12,.500,3,4,.750,3,8,.375,4,4,1.000,.690,0,1,1,2,4,0,1,0,19,17.7,10.4
3035,Jarrett Allen\allenja01,23-200,C-F,CLE,@,NYK,W,2021-11-07,1,34,8,15,.533,8,15,.533,0,0,,2,4,.500,.537,6,11,17,4,2,0,3,3,18,18.0,-0.4
3036,Giannis Antetokounmpo\antetgi01,26-336,F-G,MIL,@,WAS,L,2021-11-07,1,39,12,26,.462,12,22,.545,0,4,.000,5,12,.417,.464,6,12,18,5,3,1,3,4,29,23.2,8.2
3037,Thanasis Antetokounmpo\antetth01,29-112,F,MIL,@,WAS,L,2021-11-07,0,6,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.1
3038,Cole Anthony\anthoco01,21-176,G,ORL,,UTA,W,2021-11-07,1,32,13,20,.650,8,10,.800,5,10,.500,2,2,1.000,.790,0,3,3,2,3,2,2,3,33,27.7,19.5
3039,OG Anunoby\anunoog01,24-113,F,TOR,,BRK,L,2021-11-07,1,38,7,16,.438,6,10,.600,1,6,.167,1,2,.500,.474,1,7,8,3,0,0,2,2,16,9.3,-7.8
3040,D.J. Augustin\augusdj01,33-362,G,HOU,@,GSW,L,2021-11-07,0,11,1,3,.333,0,0,,1,3,.333,8,8,1.000,.844,0,0,0,0,0,0,1,0,11,8.3,7.4
3041,Deni Avdija\avdijde01,20-308,G-F,WAS,,MIL,W,2021-11-07,0,27,1,3,.333,0,1,.000,1,2,.500,0,0,,.500,1,8,9,4,1,1,0,2,3,8.1,6.8
3042,LaMelo Ball\ballla01,20-077,G,CHO,@,LAC,L,2021-11-07,1,32,8,19,.421,6,14,.429,2,5,.400,3,3,1.000,.517,3,4,7,3,3,0,2,5,21,15.3,3.8
3043,Mo Bamba\bambamo01,23-179,C,ORL,,UTA,W,2021-11-07,1,23,4,6,.667,3,4,.750,1,2,.500,0,0,,.750,2,5,7,1,2,4,0,3,9,13.6,11.7
3044,Dalano Banton\bantoda01,22-000,G-F,TOR,,BRK,L,2021-11-07,0,12,2,4,.500,2,3,.667,0,1,.000,1,1,1.000,.563,2,0,2,4,1,0,0,2,5,7.4,11.6
3045,Harrison Barnes\barneha02,29-161,F,SAC,,IND,L,2021-11-07,1,38,6,15,.400,5,9,.556,1,6,.167,9,11,.818,.554,0,4,4,5,2,0,0,0,22,19.8,7.5
3046,Scottie Barnes\barnesc01,20-098,G-F,TOR,,BRK,L,2021-11-07,1,31,4,7,.571,4,6,.667,0,1,.000,0,0,,.571,1,6,7,4,5,0,1,5,8,12.0,4.6
3047,RJ Barrett\barrerj01,21-146,G-F,NYK,,CLE,L,2021-11-07,1,30,3,13,.231,3,7,.429,0,6,.000,0,0,,.231,1,2,3,1,0,0,4,2,6,-4.7,-25.0
3048,Keita Bates-Diop\bateske01,25-288,F,SAS,@,OKC,L,2021-11-07,0,7,1,1,1.000,1,1,1.000,0,0,,0,0,,1.000,1,1,2,1,0,2,0,0,2,4.8,18.7
3049,Nicolas Batum\batumni01,32-328,F-G,LAC,,CHO,W,2021-11-07,1,28,6,11,.545,2,2,1.000,4,9,.444,0,0,,.727,0,6,6,1,3,1,1,0,16,15.9,11.8
3050,Darius Bazley\bazleda01,21-148,F,OKC,,SAS,W,2021-11-07,1,32,4,9,.444,3,8,.375,1,1,1.000,2,2,1.000,.557,3,8,11,4,1,1,2,1,11,12.9,4.9
3051,Bradley Beal\bealbr01,28-132,G,WAS,,MIL,W,2021-11-07,1,37,14,22,.636,12,19,.632,2,3,.667,0,1,.000,.668,0,5,5,8,0,1,6,2,30,20.8,5.1
3052,DeAndre' Bembry\bembrde01,27-126,F,BRK,@,TOR,W,2021-11-07,0,21,2,3,.667,1,2,.500,1,1,1.000,0,0,,.833,0,3,3,1,1,0,1,3,5,4.1,-0.8
3053,Goga Bitadze\bitadgo01,22-110,C,IND,@,SAC,W,2021-11-07,0,3,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,2,0,-1.5,-31.0
3054,Nemanja Bjelica\bjeline01,33-182,F,GSW,,HOU,W,2021-11-07,0,14,3,4,.750,0,0,,3,4,.750,0,0,,1.125,1,1,2,2,1,0,1,4,9,8.2,12.5
3055,Eric Bledsoe\bledser01,31-333,G,LAC,,CHO,W,2021-11-07,1,24,2,5,.400,1,3,.333,1,2,.500,2,2,1.000,.595,0,5,5,2,2,0,5,2,7,3.4,-6.1
3056,Bojan Bogdanović\bogdabo02,32-203,G-F,UTA,@,ORL,L,2021-11-07,1,32,4,13,.308,3,8,.375,1,5,.200,4,4,1.000,.440,2,2,4,1,0,0,0,0,13,8.2,-4.1
3057,Brandon Boston Jr.\bostobr01,19-344,G-F,LAC,,CHO,W,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-3.7
3058,Chris Boucher\bouchch01,28-300,F,TOR,,BRK,L,2021-11-07,0,9,2,2,1.000,2,2,1.000,0,0,,2,2,1.000,1.042,1,0,1,0,1,1,2,0,6,5.8,7.5
3059,James Bouknight\bouknja01,21-050,G,CHO,@,LAC,L,2021-11-07,0,1,0,1,.000,0,1,.000,0,0,,0,0,,.000,1,0,1,0,0,0,0,0,0,0.0,-27.2
3060,Miles Bridges\bridgmi02,23-231,G-F,CHO,@,LAC,L,2021-11-07,1,37,7,19,.368,5,13,.385,2,6,.333,5,6,.833,.485,1,3,4,6,2,1,0,4,21,17.0,5.2
3061,Armoni Brooks\brookar01,23-155,G,HOU,@,GSW,L,2021-11-07,0,16,3,10,.300,2,2,1.000,1,8,.125,0,0,,.350,0,2,2,1,2,0,0,3,7,3.3,-5.4
3062,Bruce Brown\brownbr01,25-084,G,BRK,@,TOR,W,2021-11-07,1,33,6,11,.545,6,9,.667,0,2,.000,0,0,,.545,1,3,4,2,2,0,1,0,12,10.7,-0.4
3063,Alec Burks\burksal01,30-110,G,NYK,,CLE,L,2021-11-07,0,22,2,7,.286,1,5,.200,1,2,.500,5,6,.833,.519,0,1,1,0,1,0,0,1,10,6.4,-6.2
3064,Kentavious Caldwell-Pope\caldwke01,28-262,G,WAS,,MIL,W,2021-11-07,1,26,2,6,.333,1,4,.250,1,2,.500,0,1,.000,.388,0,2,2,0,4,0,2,1,5,3.4,-1.6
3065,Jevon Carter\carteje01,26-054,G,BRK,@,TOR,W,2021-11-07,0,4,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-5.0
3066,Wendell Carter Jr.\cartewe01,22-205,C,ORL,,UTA,W,2021-11-07,1,32,9,14,.643,5,7,.714,4,7,.571,0,0,,.786,1,14,15,6,0,1,1,4,22,23.0,16.6
3067,Chris Chiozza\chiozch01,25-351,G,GSW,,HOU,W,2021-11-07,0,5,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,1,0,0,2,0,0,-1.7,-25.8
3068,Josh Christopher\chrisjo01,19-334,G,HOU,@,GSW,L,2021-11-07,0,19,1,4,.250,1,3,.333,0,1,.000,0,0,,.250,1,2,3,2,1,0,0,1,2,2.9,-4.2
3069,Jordan Clarkson\clarkjo01,29-153,G,UTA,@,ORL,L,2021-11-07,0,28,2,13,.154,0,2,.000,2,11,.182,0,0,,.231,0,1,1,3,1,2,3,0,6,-0.5,-9.5
3070,Pat Connaughton\connapa01,28-305,G,MIL,@,WAS,L,2021-11-07,0,29,2,8,.250,0,2,.000,2,6,.333,1,2,.500,.394,1,4,5,1,2,0,2,1,7,4.0,-5.1
3071,Torrey Craig\craigto01,30-323,G-F,IND,@,SAC,W,2021-11-07,0,29,1,2,.500,1,1,1.000,0,1,.000,0,0,,.500,2,3,5,0,1,0,1,4,2,1.7,-4.6
3072,Stephen Curry\curryst01,33-238,G,GSW,,HOU,W,2021-11-07,1,27,8,16,.500,4,5,.800,4,11,.364,0,0,,.625,2,1,3,2,3,0,0,3,20,16.9,8.1
3073,Terence Davis\daviste02,24-175,G,SAC,,IND,L,2021-11-07,0,5,0,2,.000,0,1,.000,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,1,0,-1.8,-27.8
3074,Spencer Dinwiddie\dinwisp01,28-215,G,WAS,,MIL,W,2021-11-07,1,26,2,8,.250,0,3,.000,2,5,.400,0,0,,.375,1,1,2,4,0,0,1,4,6,2.4,-6.8
3075,Luguentz Dort\dortlu01,22-202,G,OKC,,SAS,W,2021-11-07,1,35,5,14,.357,4,7,.571,1,7,.143,2,2,1.000,.437,1,6,7,0,0,0,1,4,13,5.1,-8.3
3076,Chris Duarte\duartch01,24-147,G,IND,@,SAC,W,2021-11-07,1,31,6,12,.500,4,7,.571,2,5,.400,1,2,.500,.582,0,5,5,2,1,0,2,2,15,9.7,2.6
3077,Kevin Durant\duranke01,33-039,F-G,BRK,@,TOR,W,2021-11-07,1,37,11,19,.579,8,13,.615,3,6,.500,6,6,1.000,.716,1,6,7,7,0,0,6,2,31,22.7,4.9
3078,Drew Eubanks\eubandr01,24-279,F,SAS,@,OKC,L,2021-11-07,1,22,7,8,.875,7,8,.875,0,0,,0,0,,.875,2,9,11,2,0,3,2,3,14,15.6,10.1
3079,Tacko Fall\fallta01,25-332,C,CLE,@,NYK,W,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.7
3080,Derrick Favors\favorde01,30-115,F-C,OKC,,SAS,W,2021-11-07,0,12,1,6,.167,1,6,.167,0,0,,0,0,,.167,4,1,5,1,2,0,0,1,2,3.6,-2.4
3081,Bryn Forbes\forbebr01,28-107,G,SAS,@,OKC,L,2021-11-07,0,7,1,2,.500,0,1,.000,1,1,1.000,0,0,,.750,0,0,0,1,0,0,0,0,3,2.7,4.3
3082,Trent Forrest\forretr01,23-148,G,UTA,@,ORL,L,2021-11-07,0,15,0,1,.000,0,1,.000,0,0,,2,2,1.000,.532,0,1,1,1,2,0,0,1,2,3.9,1.8
3083,Evan Fournier\fournev01,29-009,G-F,NYK,,CLE,L,2021-11-07,1,29,5,13,.385,3,6,.500,2,7,.286,3,3,1.000,.524,1,2,3,1,2,0,1,0,15,10.9,-2.4
3084,De'Aaron Fox\foxde01,23-322,G,SAC,,IND,L,2021-11-07,1,35,7,19,.368,6,16,.375,1,3,.333,2,2,1.000,.428,0,3,3,2,3,0,3,3,17,7.6,-5.6
3085,Daniel Gafford\gaffoda01,23-037,F,WAS,,MIL,W,2021-11-07,1,22,5,6,.833,5,6,.833,0,0,,1,2,.500,.799,2,6,8,0,0,2,0,1,11,12.6,7.8
3086,Darius Garland\garlada01,21-285,G,CLE,@,NYK,W,2021-11-07,1,35,6,14,.429,2,9,.222,4,5,.800,0,0,,.571,0,3,3,5,1,0,3,1,16,10.6,-3.9
3087,Usman Garuba\garubus01,19-243,F,HOU,@,GSW,L,2021-11-07,0,5,1,2,.500,0,0,,1,2,.500,0,0,,.750,1,1,2,0,1,0,0,0,3,4.0,22.3
3088,Paul George\georgpa01,31-189,F,LAC,,CHO,W,2021-11-07,1,38,9,22,.409,7,12,.583,2,10,.200,0,0,,.455,1,8,9,8,0,1,8,1,20,9.2,-7.2
3089,Josh Giddey\giddejo01,19-028,G,OKC,,SAS,W,2021-11-07,1,27,3,10,.300,2,4,.500,1,6,.167,0,0,,.350,2,5,7,4,0,0,4,1,7,2.5,-9.6
3090,Shai Gilgeous-Alexander\gilgesh01,23-118,G,OKC,,SAS,W,2021-11-07,1,36,5,16,.313,4,10,.400,1,6,.167,3,3,1.000,.404,0,8,8,9,1,1,3,0,14,12.2,1.1
3091,Rudy Gobert\goberru01,29-134,C,UTA,@,ORL,L,2021-11-07,1,34,7,9,.778,7,9,.778,0,0,,7,8,.875,.839,5,10,15,1,3,4,4,3,21,24.9,11.1
3092,Draymond Green\greendr01,31-248,F,GSW,,HOU,W,2021-11-07,1,22,3,5,.600,3,4,.750,0,1,.000,0,0,,.600,1,7,8,9,0,1,6,4,6,5.9,-2.5
3093,Jalen Green\greenja05,19-271,G,HOU,@,GSW,L,2021-11-07,1,30,4,12,.333,3,6,.500,1,6,.167,0,0,,.375,0,0,0,2,1,0,4,2,9,-0.2,-13.0
3094,Blake Griffin\griffbl01,32-236,F,BRK,@,TOR,W,2021-11-07,1,28,5,9,.556,1,3,.333,4,6,.667,0,2,.000,.709,4,7,11,3,0,0,1,1,14,14.5,8.6
3095,Quentin Grimes\grimequ01,21-183,G,NYK,,CLE,L,2021-11-07,0,12,2,3,.667,0,0,,2,3,.667,0,0,,1.000,0,1,1,0,0,0,0,0,6,5.0,4.1
3096,Tyrese Haliburton\halibty01,21-251,G,SAC,,IND,L,2021-11-07,1,34,7,14,.500,4,8,.500,3,6,.500,0,0,,.607,2,1,3,1,3,0,3,1,17,12.0,2.4
3097,R.J. Hampton\hamptrj01,20-273,G,ORL,,UTA,W,2021-11-07,0,20,3,4,.750,2,3,.667,1,1,1.000,1,2,.500,.820,1,1,2,1,1,1,3,2,8,5.6,-0.3
3098,James Harden\hardeja01,32-073,G,BRK,@,TOR,W,2021-11-07,1,39,10,20,.500,7,10,.700,3,10,.300,5,6,.833,.618,5,5,10,8,0,0,2,4,28,24.6,5.9
3099,Maurice Harkless\harklma01,28-180,F-G,SAC,,IND,L,2021-11-07,1,21,0,4,.000,0,0,,0,4,.000,0,0,,.000,0,2,2,1,2,0,0,3,0,-0.7,-9.9
3100,Montrezl Harrell\harremo01,27-285,F-C,WAS,,MIL,W,2021-11-07,0,26,5,7,.714,5,7,.714,0,0,,5,5,1.000,.815,0,4,4,1,1,2,3,2,15,12.6,4.3
3101,Gary Harris\harriga01,27-054,G,ORL,,UTA,W,2021-11-07,0,31,4,7,.571,4,7,.571,0,0,,0,0,,.571,1,0,1,1,1,0,0,2,8,6.3,-4.0
3102,Joe Harris\harrijo01,30-062,G,BRK,@,TOR,W,2021-11-07,1,32,4,8,.500,1,1,1.000,3,7,.429,0,0,,.688,1,3,4,2,0,0,0,2,11,9.2,1.3
3103,Isaiah Hartenstein\harteis01,23-186,F,LAC,,CHO,W,2021-11-07,0,11,3,4,.750,3,4,.750,0,0,,3,4,.750,.781,2,1,3,0,1,0,1,2,9,7.9,4.6
3104,Gordon Hayward\haywago01,31-229,F-G,CHO,@,LAC,L,2021-11-07,1,36,5,14,.357,3,10,.300,2,4,.500,3,4,.750,.476,1,6,7,0,0,0,0,2,15,8.5,-5.5
3105,Buddy Hield\hieldbu01,28-325,G,SAC,,IND,L,2021-11-07,0,32,6,16,.375,1,4,.250,5,12,.417,0,0,,.531,2,2,4,2,3,1,2,3,17,12.1,6.0
3106,George Hill\hillge01,35-187,G,MIL,@,WAS,L,2021-11-07,1,33,3,10,.300,3,5,.600,0,5,.000,0,0,,.300,0,0,0,3,0,0,2,1,6,-0.1,-12.6
3107,Aaron Holiday\holidaa01,25-038,G,WAS,,MIL,W,2021-11-07,0,11,2,5,.400,1,3,.333,1,2,.500,2,4,.500,.518,0,1,1,2,1,1,1,1,7,5.5,8.2
3108,Jrue Holiday\holidjr01,31-148,G,MIL,@,WAS,L,2021-11-07,1,30,6,16,.375,4,9,.444,2,7,.286,0,0,,.438,1,4,5,4,1,0,2,1,14,8.5,-2.0
3109,Justin Holiday\holidju01,32-216,F,IND,@,SAC,W,2021-11-07,0,28,2,5,.400,1,2,.500,1,3,.333,0,0,,.500,1,1,2,0,0,0,2,1,5,0.9,-6.6
3110,Richaun Holmes\holmeri01,28-023,F-C,SAC,,IND,L,2021-11-07,1,28,2,4,.500,2,4,.500,0,0,,7,7,1.000,.777,1,8,9,0,0,1,2,3,11,9.6,-3.4
3111,Serge Ibaka\ibakase01,32-050,F-C,LAC,,CHO,W,2021-11-07,0,8,0,3,.000,0,2,.000,0,1,.000,0,0,,.000,0,1,1,1,0,1,1,5,0,-3.4,-24.6
3112,Joe Ingles\inglejo01,34-036,F-G,UTA,@,ORL,L,2021-11-07,1,34,2,9,.222,1,2,.500,1,7,.143,0,0,,.278,1,2,3,6,1,0,2,2,5,3.2,-6.7
3113,Reggie Jackson\jacksre01,31-205,G,LAC,,CHO,W,2021-11-07,1,36,7,18,.389,4,7,.571,3,11,.273,2,2,1.000,.503,0,2,2,6,1,0,3,0,19,12.0,-1.7
3114,Ty Jerome\jeromty01,24-122,G,OKC,,SAS,W,2021-11-07,0,14,4,9,.444,3,4,.750,1,5,.200,0,0,,.500,0,1,1,0,0,0,0,2,9,3.8,-3.7
3115,Keldon Johnson\johnske04,22-027,G,SAS,@,OKC,L,2021-11-07,1,38,9,16,.563,9,15,.600,0,1,.000,4,4,1.000,.619,0,6,6,1,2,1,1,0,22,18.6,3.1
3116,Keon Johnson\johnske07,19-242,G,LAC,,CHO,W,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-4.3
3117,Kai Jones\joneska01,20-292,F-C,CHO,@,LAC,L,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-8.4
3118,Tre Jones\jonestr01,21-303,G,SAS,@,OKC,L,2021-11-07,0,8,1,3,.333,1,3,.333,0,0,,0,0,,.333,0,1,1,2,1,0,0,1,2,2.6,0.8
3119,Luke Kennard\kennalu01,25-136,G,LAC,,CHO,W,2021-11-07,0,28,6,12,.500,0,1,.000,6,11,.545,0,0,,.750,0,2,2,3,1,0,0,1,18,15.3,11.3
3120,Corey Kispert\kispeco01,22-249,G-F,WAS,,MIL,W,2021-11-07,0,12,2,5,.400,1,2,.500,1,3,.333,0,0,,.500,0,0,0,0,0,0,1,0,5,1.3,-7.8
3121,Kevin Knox\knoxke01,22-088,F,NYK,,CLE,L,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.9
3122,Vit Krejci\krejcvi01,21-141,G,OKC,,SAS,W,2021-11-07,0,0,0,0,,0,0,,0,0,,0,0,,,0,1,1,0,0,0,0,0,0,0.3,74.3
3123,Jonathan Kuminga\kuminjo01,19-032,F,GSW,,HOU,W,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.5
3124,Kyle Kuzma\kuzmaky01,26-106,F,WAS,,MIL,W,2021-11-07,1,30,6,11,.545,3,3,1.000,3,8,.375,0,0,,.682,0,10,10,5,0,1,3,2,15,13.1,7.8
3125,Jeremy Lamb\lambje01,29-161,G-F,IND,@,SAC,W,2021-11-07,0,6,0,3,.000,0,2,.000,0,1,.000,2,2,1.000,.258,1,1,2,0,0,0,0,0,2,0.9,-10.0
3126,Damion Lee\leeda03,29-017,G,GSW,,HOU,W,2021-11-07,0,23,2,5,.400,2,2,1.000,0,3,.000,0,0,,.400,0,1,1,4,0,0,0,0,4,4.4,-3.2
3127,Alex Len\lenal01,28-144,C,SAC,,IND,L,2021-11-07,0,20,2,3,.667,2,2,1.000,0,1,.000,1,2,.500,.644,1,4,5,3,0,3,1,2,5,7.6,5.3
3128,Caris LeVert\leverca01,27-074,G-F,IND,@,SAC,W,2021-11-07,1,31,9,22,.409,8,17,.471,1,5,.200,3,4,.750,.463,3,3,6,1,1,1,3,3,22,11.0,0.4
3129,Kevon Looney\looneke01,25-274,F-C,GSW,,HOU,W,2021-11-07,1,16,1,2,.500,1,2,.500,0,0,,1,3,.333,.452,0,3,3,1,1,1,0,1,3,4.1,-0.5
3130,Théo Maledon\maledth01,20-148,G,OKC,,SAS,W,2021-11-07,0,7,0,5,.000,0,1,.000,0,4,.000,0,0,,.000,0,0,0,1,0,0,0,0,0,-2.8,-27.8
3131,Terance Mann\mannte01,25-020,G-F,LAC,,CHO,W,2021-11-07,0,34,5,8,.625,3,4,.750,2,4,.500,5,5,1.000,.833,1,9,10,3,0,0,1,1,17,17.5,6.9
3132,Cody Martin\martico01,26-040,G-F,CHO,@,LAC,L,2021-11-07,0,30,2,7,.286,0,4,.000,2,3,.667,2,2,1.000,.508,0,3,3,2,2,0,0,2,8,7.4,-0.7
3133,Kelan Martin\martike03,26-096,F,IND,@,SAC,W,2021-11-07,0,4,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-14.1
3134,Kenyon Martin Jr.\martike04,20-305,F,HOU,@,GSW,L,2021-11-07,0,18,3,6,.500,3,4,.750,0,2,.000,1,1,1.000,.543,2,2,4,0,0,0,1,0,7,5.0,-5.1
3135,Miles McBride\mcbrimi01,21-060,G,NYK,,CLE,L,2021-11-07,0,1,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,0,0,0,0,0,0,0,0,-0.7,-48.0
3136,T.J. McConnell\mccontj01,29-227,G,IND,@,SAC,W,2021-11-07,1,33,8,13,.615,8,13,.615,0,0,,2,3,.667,.628,1,6,7,4,1,0,4,2,18,13.2,2.7
3137,Jalen McDaniels\mcdanja01,23-280,F,CHO,@,LAC,L,2021-11-07,0,1,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-9.2
3138,Doug McDermott\mcderdo01,29-308,F,SAS,@,OKC,L,2021-11-07,1,19,4,10,.400,2,5,.400,2,5,.400,0,2,.000,.460,1,0,1,0,0,0,0,2,10,3.7,-6.5
3139,Patty Mills\millspa02,33-088,G,BRK,@,TOR,W,2021-11-07,0,25,3,7,.429,0,1,.000,3,6,.500,4,4,1.000,.742,0,1,1,0,0,0,4,1,13,5.2,-7.3
3140,Paul Millsap\millspa01,36-270,F,BRK,@,TOR,W,2021-11-07,0,5,0,0,,0,0,,0,0,,0,0,,,0,2,2,1,0,0,0,1,0,0.9,5.1
3141,Davion Mitchell\mitchda01,23-063,G,SAC,,IND,L,2021-11-07,0,28,1,7,.143,1,6,.167,0,1,.000,0,0,,.143,2,1,3,6,1,1,1,2,2,3.3,-5.3
3142,Donovan Mitchell\mitchdo01,25-061,G,UTA,@,ORL,L,2021-11-07,1,33,8,24,.333,6,12,.500,2,12,.167,3,3,1.000,.415,3,4,7,7,0,0,3,5,21,10.6,-3.0
3143,Evan Mobley\mobleev01,20-142,F-C,CLE,@,NYK,W,2021-11-07,1,36,11,15,.733,9,11,.818,2,4,.500,2,2,1.000,.819,3,6,9,5,1,1,1,1,26,27.6,14.0
3144,Moses Moody\moodymo01,19-160,G,GSW,,HOU,W,2021-11-07,0,12,2,5,.400,2,2,1.000,0,3,.000,0,0,,.400,0,0,0,0,0,0,0,0,4,1.3,-12.3
