Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
234,Jeremiah Robinson-Earl\robinje02,20-351,F,OKC,@,UTA,L,2021-10-20,0,13,4,6,.667,2,3,.667,2,3,.667,0,0,,.833,0,2,2,0,0,0,0,1,10,7.6,12.7
235,Isaiah Roby\robyis01,23-259,F,OKC,@,UTA,L,2021-10-20,0,14,4,8,.500,4,5,.800,0,3,.000,0,0,,.500,4,2,6,1,0,0,1,2,8,6.3,0.7
236,Derrick Rose\rosede01,33-016,G,NYK,,BOS,W,2021-10-20,0,22,3,11,.273,2,8,.250,1,3,.333,2,2,1.000,.379,0,4,4,5,2,1,2,0,9,7.9,-0.4
237,Terrence Ross\rosste01,30-257,F-G,ORL,@,SAS,L,2021-10-20,0,27,5,10,.500,4,9,.444,1,1,1.000,4,4,1.000,.638,0,3,3,0,0,0,1,1,15,9.5,-3.3
238,Ricky Rubio\rubiori01,30-364,G,CLE,@,MEM,L,2021-10-20,0,25,4,10,.400,1,3,.333,3,7,.429,1,1,1.000,.575,0,4,4,10,1,0,2,3,12,12.6,2.9
239,D'Angelo Russell\russeda01,25-239,G,MIN,,HOU,W,2021-10-20,1,25,6,16,.375,2,8,.250,4,8,.500,6,8,.750,.564,0,3,3,7,1,1,3,3,22,15.7,1.8
240,Domantas Sabonis\sabondo01,25-170,F-C,IND,@,CHO,L,2021-10-20,1,39,13,19,.684,9,13,.692,4,6,.667,3,4,.750,.795,3,12,15,2,0,0,6,4,33,24.0,3.0
241,Tomáš Satoranský\satorto01,29-355,G,NOP,,PHI,L,2021-10-20,0,9,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,2,2,2,1,0,1,1,0,0.9,-6.7
242,Dennis Schröder\schrode01,28-035,G,BOS,@,NYK,L,2021-10-20,0,32,5,16,.313,4,12,.333,1,4,.250,1,2,.500,.355,2,1,3,8,2,0,2,3,12,8.5,-4.6
243,Alperen Şengün\sengual01,19-087,F,HOU,@,MIN,L,2021-10-20,0,19,3,4,.750,3,4,.750,0,0,,5,5,1.000,.887,3,3,6,2,3,0,3,4,11,12.2,7.4
244,Collin Sexton\sextoco01,22-289,G,CLE,@,MEM,L,2021-10-20,1,29,7,13,.538,5,7,.714,2,6,.333,1,3,.333,.594,1,0,1,1,0,0,1,4,17,8.7,-7.4
245,Landry Shamet\shamela01,24-221,G,PHO,,DEN,L,2021-10-20,0,19,4,5,.800,1,2,.500,3,3,1.000,0,0,,1.100,1,2,3,0,0,0,0,0,11,10.4,11.8
246,Anfernee Simons\simonan01,22-134,G,POR,,SAC,L,2021-10-20,0,18,5,6,.833,4,4,1.000,1,2,.500,0,0,,.917,0,2,2,4,0,0,1,0,11,11.2,8.4
247,Jericho Sims\simsje01,23-000,F,NYK,,BOS,W,2021-10-20,0,7,0,0,,0,0,,0,0,,1,2,.500,.568,0,1,1,0,0,0,0,0,1,0.9,-4.3
248,Marcus Smart\smartma01,27-228,G,BOS,@,NYK,L,2021-10-20,1,46,5,14,.357,0,3,.000,5,11,.455,0,0,,.536,0,8,8,6,2,0,4,3,15,10.6,-4.4
249,Ish Smith\smithis01,33-107,G,CHO,,IND,W,2021-10-20,0,21,7,14,.500,7,14,.500,0,0,,0,2,.000,.470,0,0,0,5,1,1,0,1,14,11.0,3.0
250,Jaden Springer\sprinja01,19-025,G,PHI,@,NOP,W,2021-10-20,0,2,0,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,0,0,0.0,-7.7
251,Isaiah Stewart\stewais01,20-151,F-C,DET,,CHI,L,2021-10-20,1,26,6,9,.667,6,8,.750,0,1,.000,0,0,,.667,2,6,8,0,0,1,2,1,12,9.6,1.1
252,Jalen Suggs\suggsja01,20-139,G,ORL,@,SAS,L,2021-10-20,1,30,3,14,.214,2,8,.250,1,6,.167,3,3,1.000,.326,0,1,1,1,1,0,3,3,10,-0.8,-16.8
253,Jae'Sean Tate\tateja01,25-357,F,HOU,@,MIN,L,2021-10-20,1,21,1,4,.250,1,4,.250,0,0,,0,0,,.250,1,2,3,2,0,0,2,4,2,-1.3,-14.8
254,Jayson Tatum\tatumja01,23-231,F,BOS,@,NYK,L,2021-10-20,1,45,7,30,.233,5,15,.333,2,15,.133,4,5,.800,.311,4,7,11,4,1,1,3,2,20,7.0,-11.0
255,Garrett Temple\templga01,35-165,G,NOP,,PHI,L,2021-10-20,0,15,0,1,.000,0,0,,0,1,.000,0,0,,.000,0,1,1,1,0,0,0,1,0,-0.1,-11.6
256,Daniel Theis\theisda01,29-199,C,HOU,@,MIN,L,2021-10-20,1,21,4,6,.667,3,4,.750,1,2,.500,2,2,1.000,.799,2,3,5,0,0,0,1,2,11,8.9,0.2
257,Tristan Thompson\thomptr01,30-221,F-C,SAC,@,POR,W,2021-10-20,0,19,3,5,.600,3,5,.600,0,0,,0,0,,.600,1,4,5,0,0,0,1,3,6,3.4,-7.7
258,Matisse Thybulle\thybuma01,24-230,G,PHI,@,NOP,W,2021-10-20,0,27,1,3,.333,1,2,.500,0,1,.000,0,0,,.333,0,1,1,0,4,1,1,0,2,4.3,0.4
259,Obi Toppin\toppiob01,23-230,F,NYK,,BOS,W,2021-10-20,0,28,6,9,.667,6,6,1.000,0,3,.000,2,3,.667,.678,2,3,5,0,0,1,1,1,14,11.3,-1.2
260,Karl-Anthony Towns\townska01,25-339,C-F,MIN,,HOU,W,2021-10-20,1,29,11,15,.733,8,11,.727,3,4,.750,5,5,1.000,.872,5,5,10,2,2,2,3,3,30,29.5,13.8
261,Gary Trent Jr.\trentga02,22-275,G,TOR,,WAS,L,2021-10-20,0,26,2,9,.222,1,6,.167,1,3,.333,1,2,.500,.304,1,1,2,1,3,0,2,1,6,2.4,-2.4
262,Myles Turner\turnemy01,25-210,C-F,IND,@,CHO,L,2021-10-20,1,26,3,6,.500,2,3,.667,1,3,.333,2,4,.500,.580,1,6,7,1,0,4,4,4,9,5.6,-5.2
263,Jonas Valančiūnas\valanjo01,29-167,C,NOP,,PHI,L,2021-10-20,1,30,3,19,.158,2,16,.125,1,3,.333,2,2,1.000,.226,5,7,12,3,0,1,1,4,9,2.7,-14.8
264,Jarred Vanderbilt\vandeja01,22-200,F,MIN,,HOU,W,2021-10-20,0,15,0,0,,0,0,,0,0,,2,2,1.000,1.136,0,3,3,1,2,0,0,3,2,4.4,0.4
265,Fred VanVleet\vanvlfr01,27-237,G,TOR,,WAS,L,2021-10-20,1,35,5,20,.250,4,11,.364,1,9,.111,1,1,1.000,.294,1,2,3,4,2,1,3,1,12,3.4,-2.4
266,Devin Vassell\vassede01,21-058,G-F,SAS,,ORL,W,2021-10-20,0,25,8,12,.667,5,8,.625,3,4,.750,0,0,,.792,0,2,2,5,2,0,0,2,19,19.1,18.2
267,Nikola Vučević\vucevni01,30-361,C,CHI,@,DET,W,2021-10-20,1,36,7,21,.333,6,17,.353,1,4,.250,0,0,,.357,5,10,15,4,0,0,3,1,15,9.0,-3.8
268,Franz Wagner\wagnefr01,20-054,G-F,ORL,@,SAS,L,2021-10-20,1,32,6,9,.667,6,7,.857,0,2,.000,0,0,,.667,2,2,4,2,1,2,0,2,12,13.1,3.5
269,Moritz Wagner\wagnemo01,24-177,F-C,ORL,@,SAS,L,2021-10-20,0,15,2,5,.400,1,2,.500,1,3,.333,2,4,.500,.518,2,4,6,1,0,0,1,2,7,5.0,-3.6
270,Kemba Walker\walkeke02,31-165,G,NYK,,BOS,W,2021-10-20,1,36,3,8,.375,0,4,.000,3,4,.750,1,2,.500,.563,0,8,8,3,1,0,4,4,10,5.1,-7.2
271,Lonnie Walker IV\walkelo01,22-310,G,SAS,,ORL,W,2021-10-20,0,25,6,17,.353,3,8,.375,3,9,.333,2,2,1.000,.475,0,6,6,3,1,1,0,4,17,11.5,0.4
272,P.J. Washington\washipj01,23-058,F,CHO,,IND,W,2021-10-20,0,19,1,7,.143,0,4,.000,1,3,.333,2,2,1.000,.317,3,2,5,3,0,1,0,1,5,5.6,-2.4
273,Derrick White\whitede01,27-110,G,SAS,,ORL,W,2021-10-20,1,30,6,11,.545,3,7,.429,3,4,.750,1,3,.333,.649,0,4,4,4,1,0,0,2,16,14.1,4.7
274,Hassan Whiteside\whiteha01,32-129,C,UTA,,OKC,W,2021-10-20,0,19,2,4,.500,2,4,.500,0,0,,2,2,1.000,.615,2,8,10,0,1,2,1,5,6,7.2,1.4
275,Grant Williams\willigr01,22-324,F,BOS,@,NYK,L,2021-10-20,1,31,6,9,.667,3,4,.750,3,5,.600,0,0,,.833,0,5,5,4,1,1,2,5,15,13.1,4.6
276,Kenrich Williams\willike04,26-322,G-F,OKC,@,UTA,L,2021-10-20,0,16,3,5,.600,2,3,.667,1,2,.500,0,0,,.700,0,0,0,1,0,0,1,2,7,3.6,-1.8
277,Patrick Williams\willipa01,20-055,F,CHI,@,DET,W,2021-10-20,1,28,2,3,.667,2,3,.667,0,0,,2,2,1.000,.773,0,1,1,0,0,0,1,2,6,3.2,-4.2
278,Robert Williams\williro04,24-003,C-F,BOS,@,NYK,L,2021-10-20,1,45,5,5,1.000,5,5,1.000,0,0,,6,8,.750,.939,3,7,10,3,3,5,0,1,16,26.1,8.7
279,Ziaire Williams\willizi02,20-038,F,MEM,,CLE,W,2021-10-20,0,17,1,2,.500,0,1,.000,1,1,1.000,0,0,,.750,0,2,2,1,1,0,1,1,3,2.9,-2.3
